"task","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","section","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","rt","stimulus","response","success","timeout","failed_images","failed_audio","failed_video","block","accuracy","slider_start","choices","standardized_response","correct","num_attention_checks_correct"
"sliderTrial","html-slider-response","127","1052580","0.0-127.0","","656776a7904ae00d6b91d1dd","6568ac0f9026038c0df229eb","15","","","","","","","","","","","","4200","[""SV_PolicingMSA/MA_659/IMG_12_659.jpg"",""SV_PolicingMSA/MA_659/IMG_4_659.jpg"",""SV_PolicingMSA/MA_659/IMG_11_659.jpg"",""SV_PolicingMSA/MA_659/IMG_3_659.jpg"",""SV_PolicingMSA/MA_659/IMG_14_659.jpg"",""SV_PolicingMSA/MA_659/IMG_0_659.jpg"",""SV_PolicingMSA/MA_659/IMG_1_659.jpg"",""SV_PolicingMSA/MA_659/IMG_13_659.jpg""]","5","","","","","","5","","4","[""./rc_img/cop_condGroup_14_CommunitySafety_autoscaled.png"",""./rc_img/cop_condGroup_14_SafeStreets_autoscaled.png""]","5","",""
"before_SVSlide_prompt","html-button-response","128","1054234","0.0-128.0","","656776a7904ae00d6b91d1dd","6568ac0f9026038c0df229eb","15","","","","","","","","","","","","1653","Click [Next] to see the next neighborhood!","0","","","","","","","","","","","",""
"street view slide show","image-button-response","129","1055235","0.0-129.0","","656776a7904ae00d6b91d1dd","6568ac0f9026038c0df229eb","15","","","","","","","","","","","","null","stimulus/SV_PolicingMSA/MA_855/IMG_11_855.jpg","null","","","","","","2","","","","","",""
"street view slide show","image-button-response","130","1056240","0.0-130.0","","656776a7904ae00d6b91d1dd","6568ac0f9026038c0df229eb","15","","","","","","","","","","","","null","stimulus/SV_PolicingMSA/MA_855/IMG_14_855.jpg","null","","","","","","2","","","","","",""
"street view slide show","image-button-response","131","1057245","0.0-131.0","","656776a7904ae00d6b91d1dd","6568ac0f9026038c0df229eb","15","","","","","","","","","","","","null","stimulus/SV_PolicingMSA/MA_855/IMG_12_855.jpg","null","","","","","","2","","","","","",""
"street view slide show","image-button-response","132","1058251","0.0-132.0","","656776a7904ae00d6b91d1dd","6568ac0f9026038c0df229eb","15","","","","","","","","","","","","null","stimulus/SV_PolicingMSA/MA_855/IMG_9_855.jpg","null","","","","","","2","","","","","",""
"street view slide show","image-button-response","133","1059255","0.0-133.0","","656776a7904ae00d6b91d1dd","6568ac0f9026038c0df229eb","15","","","","","","","","","","","","null","stimulus/SV_PolicingMSA/MA_855/IMG_1_855.jpg","null","","","","","","2","","","","","",""
"street view slide show","image-button-response","134","1060259","0.0-134.0","","656776a7904ae00d6b91d1dd","6568ac0f9026038c0df229eb","15","","","","","","","","","","","","null","stimulus/SV_PolicingMSA/MA_855/IMG_5_855.jpg","null","","","","","","2","","","","","",""
"street view slide show","image-button-response","135","1061264","0.0-135.0","","656776a7904ae00d6b91d1dd","6568ac0f9026038c0df229eb","15","","","","","","","","","","","","null","stimulus/SV_PolicingMSA/MA_855/IMG_0_855.jpg","null","","","","","","2","","","","","",""
"street view slide show","image-button-response","136","1062268","0.0-136.0","","656776a7904ae00d6b91d1dd","6568ac0f9026038c0df229eb","15","","","","","","","","","","","","null","stimulus/SV_PolicingMSA/MA_855/IMG_8_855.jpg","null","","","","","","2","","","","","",""
